Turkish,English
kullanmama,not using
fırt,storm
öğreneceksiniz,you will learn
durdurmamız,us to stop
rayna,Rayna
hazırlıklar,preparations
çıkarırken,while removing
vermeyiz,we don't give
kapılmış,caught up
kabasın,you are rude
macaristan,Hungary
güvenemeyiz,we can't trust
kırılır,breaks
yaşıyorduk,we were living
yatırın,deposit
hapishanenin,of the prison
durduran,stopping
tanrıdan,from god
araştırmasını,his research
bulmuyorum,I don't find it
larsen,larsen
pistte,on the track
çalışmayın,don't try
yüreğim,my heart
antarktika,antarctica
toy,immature
uyanıyorum,I'm waking up
hatırlatmama,not to remind
bürosunda,in his office
isı,heat
İskele,Dock
çanları,bells
ıstırap,suffering
etmelerine,to them
buzdan,from ice
skywalker,skywalker
yüzyüze,face to face
dışımda,outside of me
sınavdan,from the exam
dracula,dracula
memurun,your officer
davamız,our cause
kapıların,of the doors
umutsuzluk,despair
İtalyanlar,Italians
saygısı,respect
gereklidir,is necessary
prime,prime
delaney,delaney
rüyaların,your dreams
söyleyebilecek,can say
stil,style
kadir,magnitude
uzaklardan,from far away
nedime,bridesmaid
şoku,shock
okuyamıyorum,I can't read
ödeteceğim,I will make you pay
çizginin,of the line
sook,sook
şirketlerin,companies
arabalarını,their cars
dakikanı,your minute
temizleyecek,will clean
larson,larson
batırdın,you screwed up
balonu,balloon
tekini,one of them
suyuna,to your water
aslen,originally
üfle,blow
almalarını,to take
farrell,farrell
çekmeni,to pull
konulara,to the subjects
biçilmiş,sawn
kaydetmek,save
hatırladı,remembered
yaşamadım,I didn't experience
boğuluyor,drowning
tarihsel,historical
getirirdi,would bring
hissini,the feeling
konuşmanızı,your speech
durumlara,to situations
medikal,medical
ravi,narrator
sevgiye,to love
alfie,alfie
koli,parcel
bilmene,to know
kurduğun,you established
parçala,smash
tutamazsın,you can't hold it
turistler,tourists
malzemelerini,ingredients
bord,board
hansen,hansen
lazanya,lasagna
çözülmemiş,unsolved
çekmez,does not shrink
kitaplardan,from books
kartpostal,postcard
tutsun,keep it
ilgilenmesi,take care of
adasına,to the island
inanman,you believe
nefesin,your breath
durumdayken,in the situation
dağıttı,distributed
mevki,position
bağlantın,your connection
halatı,rope
dağıtacağım,I will distribute
giydiğim,what i wear
başladığımızda,when we started
izlerin,your scars
ararlar,they call
sırayı,order
fotoğrafların,your photos
milly,Milly
franny,franny
korkağın,coward
bağlantılar,links
dövülmüş,beaten
istemeyeceğim,I won't want
neville,neville
getirmelisin,you should bring
kurabiyeler,cookies
cubur,food
kaçması,escape
dönsek,let's go back
mcnamara,mcnamara
binelim,let's ride
kuracak,will establish
açıklayın,explain
edilip,has been
bardağın,your glass
kapıma,to my door
konuştuğunda,when you talk
yöntemini,method
dönümü,anniversary
sözünden,from your word
çarpar,multiplies
poponu,your butt
çaldığım,I stole
poppy,poppy
hakkımdaki,about me
çar,tsar
arabasından,from his car
beklesene,wait
alâkalı,relevant
geçerlidir,valid
korkaksın,you are a coward
şerefi,honor
whitey,whitey
ayıracağım,I will separate
çük,dick
verilmesini,to be given
lucius,Lucius
garfield,garfield
haberlerini,news
şüpheye,to doubt
revir,infirmary
bohannon,bohannon
fırsatları,opportunities
kaderine,to your destiny
soyadın,your surname
kopuyor,is breaking
çekingen,shy
tarlada,in the field
bulaşan,transmitted
yapmaman,don't do
açacaksın,you will open
yaşayabiliriz,we can live
ez,crush
kaltağın,your bitch
kandırıyorsun,you are deceiving
hakan,Hakan
vampirlerin,of vampires
çizme,boot
aklımıza,to our mind
benzemiyordu,it didn't look like
inanmıyorsan,if you don't believe
aracının,of the vehicle
gitarı,guitar
yavaştan,slowly
dişlerin,your teeth
ıslah,improvement
buza,on ice
pelerin,cloak
yarışın,race
sutyen,bra
komando,commando
felaketi,disaster
akrabaları,relatives
etmezsek,if we don't
maxine,maxine
hademe,janitor
uçurdu,flew
tropik,tropical
önsezi,hunch
kustu,vomited
üyelerinden,from its members
yaraması,to work
solu,left
çağıran,calling
güvendiği,trusted
anlamamıştım,I didn't understand
davranman,your behavior
direksiyona,to the steering wheel
demeni,you say
muhteşemsin,you are amazing
gemim,my ship
duruyordun,you were standing
çıkamayız,we can't go out
tünelin,of the tunnel
mi,Is it
dizide,in the series
shot,shots
sapkın,perverted
sands,sands
başkanımız,our president
indirimi,discount
duramaz,can't stop
altyazılar,subtitles
flanders,flanders
değiştirmiyor,does not change
uyduruk,fake
tasma,overflow
diyorsanız,If you say
göğe,to the sky
cain,cain
silahıyla,with his gun
bambi,bambi
evlerin,of houses
yuttun,you swallowed
alacakaranlık,twilight
kuaför,Hairdresser
harcıyorum,I spend
kullanmalıyız,we should use
kilometrelik,kilometer
cenazesinde,at his funeral
yemeyeceğim,I won't eat
açılma,opening
kapıp,grab
susar,becomes silent
yuvaya,to the nest
sürüyordu,was going on
oturum,session
balinalar,whales
boşum,I'm free
kaybolduğunda,when you disappear
kılı,hair
kursu,course
seçecek,will choose
çanı,villain
heyecandan,out of excitement
güçlere,to the powers
odaklanın,focus
çaya,to tea
ödemeleri,payments
bineceğim,I will ride
etkilemiş,impressed
bakıldığında,when viewed
karda,in the snow
perdeler,curtains
asiler,rebels
page,page
forrest,forrest
bilmenin,knowing
uyacak,will fit
alınmayın,don't be offended
whitman,Whitman
duruş,stance
dükkanından,from your shop
kemerlerinizi,your belts
ulaşana,until you reach
şoke,shocked
monique,Monique
sızıntısı,leak
doktorluk,medicine
temple,temple
planımı,my plan
oteldeki,in the hotel
karşılaştın,you met
işlendi,processed
olduğuydu,it was
titriyorsun,you are shaking
kerede,at once
radyosu,radio
operasyonlar,operations
değişmişsin,you have changed
kurudu,dried up
hwa,hwa
yolcuların,passengers
quantico,quantico
götürmüştü,had taken
İlgini,your interest
lt,l
fansub,fansub
izlenimi,impression
bulabileceğimizi,that we can find
kampın,of the camp
arasını,between
endişelenmiştim,I was worried
mezunlar,graduates
doktoruna,to your doctor
yerlerinizi,your places
İyisi,good
boynuma,on my neck
daktilo,typewriter
pol,pole
dize,string
hissettirecek,will make you feel
canlarım,my dears
anıların,your memories
gelenlere,to those who come
toplayacağım,I will collect
geçemezsin,you can't pass
üretiyor,produces
ölüyorsun,you are dying
kahvaltıyı,breakfast
kaldırıyor,lifting
tavsiyemi,my advice
kaçarak,by running away
ofisinin,of your office
hisseden,feeling
etmediğim,I didn't
beklemeni,wait for you
cesedimi,my dead body
işteki,at work
takımından,from the team
uyduruyorsun,you are making it up
kediye,to the cat
duyulur,is heard
milk,milk
varsayarsak,assuming
evdesin,you are at home
sinirimi,my anger
odaklanmak,focus on
çantasına,in her bag
sağlığını,your health
tünele,to the tunnel
gerçekliği,reality
istediğinin,what you want
tanışıp,meet
otobüsten,from the bus
ikizi,twin
sessizsin,you are silent
geçirmeliyiz,we must pass
storm,storm
bulamazlar,they can't find
kalpler,hearts
kereste,timber
ailenizi,your family
ulaşmadan,before reaching
karınızı,your wife
umarız,we hope
kavuşturmak,to reunite
girmekten,from entering
ımı,eh?
kaçakçılık,smuggling
edilemeyecek,cannot be
kışı,person
tutukla,arrest
sına,test
buluşuyoruz,we are meeting
halının,of the carpet
yazman,your secretary
kafasındaki,in his head
demekten,from saying
filmine,to the movie
maço,macho
gayrimenkul,real estate
çizgisine,to the line
cebime,in my pocket
korunmaya,to be protected
atmıştı,had thrown
arızalı,defective
karıştır,mix it up
makbule,appreciated
yöntemle,by method
işlemini,process
zorlayan,compelling
meseleler,issues
kişiliğini,your personality
komutanlığı,command
partime,to my party
uyuduğunu,you were sleeping
gelmediniz,you didn't come
iã,job
yaşayacağını,will live
püf,puff
paneli,panel
hatamız,our mistake
günahları,sins
caldwell,caldwell
mutluluktan,from happiness
dedikoduları,rumors
swanson,swanson
hayranınızım,I am your fan
elbisesini,her dress
şaman,straw
sitesine,to the site
milano,milan
veriş,giving
connell,connell
bozar,spoils
kılmak,make
arabanda,in your car
ağabeyimin,my brother's
magic,magic
gidemedim,I couldn't go
seçimim,my choice
şato,castle
girls,girls
donner,donner
soon,soon
yakalayan,catcher
inanmıştım,I believed
damadın,your groom
kurtarmam,I don't save
başlaman,you start
soracağız,we will ask
macunu,paste
bağlanmak,connect
koymalıyız,we should put
götürüldü,was taken away
sağlıyorum,I provide
alüminyum,aluminum
ilgiyi,interest
sebebiyet,cause
aramana,to your call
uzaklaşmış,estranged
paylaşmayı,to share
duane,Duane
belgesini,document
kollarıma,into my arms
zorlukla,barely
göçmenlik,immigration
bulduklarında,when they find
edeceğime,I will
gölgesinde,in the shadow
çakma,fake
düşüneceksin,you will think
tad,taste
götürmesini,to take away
manzaralı,scenic
bırakabilirsiniz,you can leave
şüpheleri,doubts
tayvan,taiwan
ring,ring
evlenelim,let's get married
paketleri,packages
yaklaşmış,approached
yatmam,I don't sleep
çöker,collapses
aşkta,in love
dikey,vertical
sebebimiz,our reason
zhaan,zhaan
personelin,of the staff
fikirlere,to ideas
İşemem,I don't pee
hissetmiş,felt
captain,captain
harcıyorsunuz,you are spending
yazacaksın,you will write
yolculukta,on the journey
macar,Hungarian
kuzenimin,my cousin
öldüresiye,to death
yapmayayım,I won't do it
uçlu,trio
katılmıyor,disagree
desteğine,to your support
bilemeyeceğim,I won't know
öğrenmez,does not learn
dönüştürdü,transformed
gördüklerinde,when they see
yılından,from year
kaşığı,spoon
duyun,hear
kappa,kappa
başvurusu,application
galler,Wales
vereceğine,that you will give
yahudileri,the jews
zırhı,armor
gelmekten,from coming
doğrulamak,verify
gecem,my night
duyarsın,you hear
hayırsever,charitable
hatırlatır,reminds
koyuyoruz,we put
antlaşma,treaty
serveti,wealth
nesini,what
solak,left handed
çözüme,to the solution
fields,fields
heriften,from the guy
araştırmamı,my research
yapılmamış,not done
boys,boys
gustav,Gustav
hai,hai
havalar,weather
express,express
şapkam,my hat
gelmemiz,our coming
oluruna,as it happens
kaçırmayın,don't miss
partin,your party
shaun,shaun
meade,Meade
nesneler,objects
pasaklı,dowdy
hwan,hwan
mossad,mossad
ofisimden,from my office
oradayız,we are there
uydur,make it up
eşleri,wives
parmakların,your fingers
olmamdan,from being
getirmeyecek,will not bring
unutuyor,forgets
meydanında,in the square
hitchcock,hitchcock
prototip,prototype
sonlarında,in the end
benmişim,it was me
şampiyonluğu,championship
öldürebilecek,can kill
kağıtlarını,your papers
askerlerini,your soldiers
yoldaki,on the road
yanıldığımı,I was wrong
teke,goat
ağrıları,pains
yapabildiğin,what you can do
şampuan,shampoo
beaumont,beaumont
mumu,candle
angelica,angelica
derslerini,your lessons
güvenliğinden,from safety
evrene,to the universe
atlattım,I survived
davranmıyor,not behaving
çıkarmama,not to remove
törene,to the ceremony
kardeşimden,from my brother
ödülün,your reward
yakalım,let's burn
aktive,activated
kodese,to jail
kurumsal,institutional
scofield,scofield
kafein,caffeine
söylemiştik,we told you
gönderecekler,they will send
weiss,weiss
planlıyorlar,they are planning
doğmuştu,was born
sıkıyorsun,you are boring
kelsey,kelsey
russo,Russo
uğraşacak,will deal with
almamızı,us to take
havyar,caviar
inç,inch
yolunuz,your way
derrick,derrick
sevmeyen,dislike
tarifini,recipe
fırtınadan,from the storm
kulüpten,from the club
borçları,debts
sanatçısı,artist
bendeydi,I had it
paramın,my money
roscoe,roscoe
çözmemiz,to solve
canımızı,our lives
davasıyla,with his case
öfkeden,out of anger
bilgimiz,our knowledge
hastalığına,to his illness
tartışıyoruz,we are discussing
hatlar,lines
asıi,rebellious
tamamladım,i completed
durmadı,didn't stop
vakum,vacuum
seviştik,we made love
kalıntılar,ruins
ediyorsanız,if you are
müdürüyüm,I am the manager
edemediğim,I can't
açıldığında,when turned on
dina,dina
çalarak,by stealing
çaldık,we stole
tecrübem,my experience
girişinde,at the entrance
hubert,Hubert
çukurda,in the pit
gelmediği,did not come
enerjinin,of energy
veli,guardian
cahill,ignorant
oğlumsun,you are my son
bacağından,from his leg
sektöründe,in the industry
karşılaşmadım,I did not encounter
malını,your property
toplayan,collector
dairem,my flat
havasını,the mood
şehire,to the city
çoğunuz,many of you
katille,with the murderer
church,church
götürsün,take it away
dalgaların,of the waves
tanışacağım,I will meet
vikram,vikram
olmazlar,they don't happen
bağlıyız,we are committed
fikrinden,from your idea
ladin,spruce
uğraştı,struggled
randevuyu,appointment
kalanların,of the rest
yorgunluktan,from fatigue
çavuşu,sergeant
aralarından,among them
odalarına,to their rooms
think,think
çığlıkları,screams
düşünsen,if you think
kitaplara,to the books
oralara,there
çalalım,let's play
söylemeyeceğine,that you won't tell
piyon,pawn
telsizle,by radio
uğraşıyordum,I was trying
yerimize,to our place
korumalı,protected
yürüyeceğiz,we will walk
uyusun,let him sleep
dövüşmeye,to fight
yoo-jin,yoo-jin
kaşar,cheese
varlığının,of your existence
boynum,my neck
nbc,nbc
kıpır,fidget
united,united
samanyolu,Milky Way
girebilirsiniz,you can enter
konuşursak,speaking
vermemeliydim,I shouldn't have given
trol,trawl
çıkmaktan,from leaving
cazibe,fascination
flüt,flute
yürüyordum,I was walking
davrandığımı,I behaved
harfiyen,literally
yapmayacağımı,I won't
aw,aww
arkadaşlığı,friendship
yaşamanı,to live
esiri,prisoner
yatırımcı,investor
acile,to the emergency room
delicesine,insanely
tutarsan,if you keep
mahkumları,prisoners
babamdı,it was my father
spot,spot
yiyeceğimiz,our food
hormon,hormone
channing,channing
kaplumbağalar,turtles
cornell,cornel
rohan,Rohan
utan,be ashamed
hatıraları,memories
biriydin,you were one
hayatla,with life
alabilirler,they can take
gönlünü,your heart
bulaştın,you got involved
annenize,to your mother
atabilirim,I can throw
durduğun,where you stand
düne,to yesterday
ımız,our
makaleyi,the article
doğduktan,after being born
yaşamıyorum,I don't live
galaksiler,galaxies
doldurur,fills
kurbanımızın,of our sacrifice
kontu,count
fei,fei
kanatlar,wings
ayarlar,settings 
acıtıyorsun,you hurt
verilmiyor,not given
dalar,dives
kaldığınız,where you stay
besleyen,feeding
suyum,my water
tavuklu,with chicken
mariana,mariana
sırp,Serbian
aptala,to the fool
bekleyerek,waiting
şarjı,charge
ortaklığı,partnership
anlaşılması,understanding
demişlerdi,they said
ışıklarını,your lights
çevirmiş,translated
yaslanıp,lean back
ciğer,liver
küvete,into the bathtub
açığım,I'm open
yeteneğimi,my talent
rüzgara,to the wind
rahatınıza,to your comfort
çaldınız,you stole
dolaplar,cabinets
yemiyorum,I don't eat
beklemezdim,I wouldn't expect
ilerisinde,ahead
çıkmaza,stalemate
geçecektir,will pass
ananas,pineapple
atmadım,I didn't throw
bekleyebiliriz,we can wait
donuk,dull
beklemiş,waited
alamet,omen
fabrikayı,the factory
getirmedi,didn't bring
dökme,pouring
doğduğun,you were born
çıksak,let's go out
ediciydi,it was inspiring
belden,from the waist
kazansın,may he win
durdurdum,I stopped
kameraların,of cameras
karavanda,in the trailer
katmak,add
bölgeler,regions
İstemiyorsan,If you don't want
deneyip,try
gitmeyeceğiz,we won't go
enerjiye,to energy
mert,brave
telleri,wires
görürlerse,if they see
bulamayacak,won't find
ilgisiz,irrelevant
vee,vee
yüreği,heart
kalmışım,I'm stuck
müşteriye,to the customer
crockett,crockett
birbirinizden,from each other
yönlendirdi,directed
kurtulmam,I won't get rid of
dirsek,elbow
parçalandı,fell apart
İnfaz,Execution
şeklindeki,shaped
duyman,you hear
öldürmüştü,had killed
görmediğin,what you don't see
sine,sine
âmin,amine
direktör,director
mıknatıs,magnet
sevdiğinizi,that you love
tartışmalı,controversial
masasından,from his desk
kalkışma,attempt
okuyarak,by reading
kibir,arrogance
götürürdü,would take
yesin,let him eat
raoul,raoul
okuman,your reading
suzy,suzy
yarışmada,in the competition
geçmişinde,in your past
servete,to wealth
adaylar,candidates
soracaksın,you will ask
gelemedim,I couldn't come
dudaklar,lips
kapama,closing
siyanür,cyanide
hür,free
hatırlaman,you remember
sözcüsü,spokesperson
başkasından,from someone else
bowl,bowl
sümüklü,slimy
nano,nano
alti,six
gözümüz,our eyes
büyükannesi,grandmother
vardınız,you were there
kaldırıma,to the sidewalk
İstediğinizi,what you want
waters,waters
çözdük,we solved
makası,scissors
a.j.,a.j.
drakula,dracula
tatlim,sweetie
kucağında,in your lap
oynardık,we used to play
yörünge,orbit
conner,Conner
biçilemez,inestimable
köydeki,in the village
gülün,laugh
lupin,lupine
pascal,pascal
yaklaştıkça,as you get closer
yenisin,you are new
i.,i.
kursuna,to the course
görünüşünü,your appearance
hanıma,to the lady
iv,iv
takıyordu,was wearing
bini,thousand
yamuk,trapezoid
mumya,mummy
dışardan,from outside
etmediğin,you didn't
çizgisinde,on the line
yönlendirme,orientation
İnanılmazsın,You are incredible
duruşu,stance
mideye,into the stomach
izleyebilir,can watch
öldürmediğini,didn't kill
içindedir,is in
beklemelisin,you have to wait
blog,blog
sünnet,circumcision
lekeleri,stains
varmaz,does not arrive
sesiyle,with his voice
yükseltmek,raise
utanmıyor,he is not ashamed
gizliliği,privacy
inme,stroke
yurtdışında,abroad
allak,bastard
brock,brock
kalsiyum,calcium
sisteminden,from the system
etten,flesh
sondaj,drilling
öğrendikten,after learning
cezaevinde,in prison
beklememi,me to wait
kuyuya,to the well
protestan,Protestant
rüyaları,dreams
uyuyalım,let's sleep
bıraktığında,when you let go
tamamladı,completed
şurda,there
yaşananları,what happened
darbesi,coup
boyama,painting
belirler,determines
şampiyonası,championship
arkamızdan,behind us
sorabilirim,I can ask
füzyon,fusion
aslanı,lion
cullen,cullen
jameson,Jameson
sorunlara,to problems
yaşadınız,you lived
saymaya,to count
delia,delia
yoldur,is the way
wilder,wilder
frene,on the brake
elleriniz,your hands
uğrayayım,let me stop by
okunuyor,is being read
batılı,western
çatlaklar,cracks
hazırlayıp,prepare and
yoksulluk,poverty
ölmediğini,that you are not dead
elbiseyle,with a dress
bakarlar,they look
samir,samir
hücresinde,in his cell
zahmetli,troublesome
olabilseydim,if i could be
direği,pole
büroya,to the office
çıkarırsan,if you subtract
dikkatim,my attention
durduramıyorum,I can't stop
çözemedim,I couldn't figure it out
çita,slat
tarafındasın,you are on the side
zebra,zebra
başkente,to the capital
görevimizi,our duty
saçmalığını,your nonsense
çağın,era
hastalığını,his illness
genci,young man
çalıştığında,when it works
staj,internship
ödeyeceksiniz,you will pay
edilme,not to be
frz.,friz.
apartmanda,in the apartment
vasiyeti,will
hükmü,provision
uyandıran,arousing
anlayacağınız,you will understand
hayranın,your admirer
thelma,thelma
etmesinin,to do
bıçakladı,stabbed
yıkarım,I wash
incitme,don't hurt
dinamik,dynamic
mekanın,of the place
kahramanları,heroes
geçmişimi,my past
bilmiyorlardı,they didn't know
öldürmüşler,they killed
İngilizlerin,the british
iyisisin,you are good
sabrım,my patience
bağlamış,tied up
deniyoruz,we are trying
katılması,to join
ödemeden,without paying
döktü,poured
şurubu,syrup
üzülmeyin,don't worry
maliye,finance
alejandro,alejandro
pişirme,cooking
arazisi,land
kemiklerin,your bones
ruhsatı,license
yığınla,heaps
istirahat,rest
heller,heller
anlamıyorlar,they don't understand
uykucu,sleeper
çalı,bush
içinmiş,it was for
çıktığımız,we went out
şansıma,my luck
beyinleri,brains
oğlumdan,from my son
shan,shan
leeds,Leeds
dolarına,to the dollar
hakediyor,deserves
titreşim,vibration
ailelerinin,their families
dostlarını,your friends
enrique,enrique
çalacağız,we will play
yaptıklarınız,what you do
binmeye,to ride
kalmayıp,not left
anım,my memory
üzülüyor,gets sad
warwick,warwick
paslı,rusty
darlene,darlene
güçlerimi,my powers
buyuk,big
koşma,running
bir-,One-
çürümeye,to rot
azrail,grim reaper
hiçbirimizin,none of us
harfler,letters
sorularınızı,your questions
içmiyor,does not drink
gemimiz,our ship
kastın,what you mean
aşıp,go over
otlar,herbs
çektiğimi,what I suffered
gazlı,gaseous
yardımcımız,our assistant
cihazın,of the device
garantiye,to warranty
annemler,my parents
kabilesi,tribe
poposu,butt
hainler,traitors
boşandım,I divorced
ameliyatın,of the surgery
aradığına,what you are looking for
sallama,shake
teyzenin,your aunt's
vücuduma,to my body
basil,bacillus
uyuyun,sleep
sayfaya,to page
savaştayız,we are at war
içmez,does not drink
uyuyorlar,they are sleeping
safra,bile
edemiyoruz,we can't
inanırlar,they believe
ilerlemek,to go forward
hamileyken,while pregnant
haklarımı,my rights
hallediyor,is handling it
buzul,glacier
açmadın,you didn't open it
sormamın,I don't ask
İsimlerini,their names
taraftayız,we are on the side
açarız,we open
gülümsedi,smiled
güçlerine,to their power
kaygı,anxiety
oakland,oakland
silahının,of your gun
davan,your case
kuruyorsun,you are drying
söylemekle,by saying
baskıya,to the pressure
meşguldün,you were busy
gözümden,from my eyes
departman,department
piste,to the runway
korkmaz,not afraid
arkanıza,behind you
keseyim,let me cut
torunun,your grandchild
yoldalar,they are on their way
numaraydı,it was a number
hızında,at speed
girmişler,they entered
büyüdükçe,as we grow
navid,navid
penceresi,window
michaels,Michael
boşlukta,in space
tanışıyoruz,we meet
kazma,digging
karantinaya,to quarantine
dileği,wish
myka,myka
bilime,to science
saklamayı,to hide
sven,sven
remy,Remy
çalışırsak,if we work
gogh,gogh
verse,give
köpeğinin,your dog
azını,less
kalmazsın,you won't stay
balıkların,of fish
katılmasını,to join
clary,clary
postayla,by mail
nikolai,nikolai
ormanları,forests
seçerim,i choose
potasyum,potassium
ulaşmanın,to reach
filler,elephants
endişelenmenize,don't worry
canlandırmak,revive
tum,all
ediyordunuz,you were doing
halkımız,our people
sokabilir,can sting
ramak,almost
nerdeydin,where were you
stars,stars
hardison,hardison
isteyemem,I can't want
görüşüyoruz,we are meeting
yetişmek,catch up
emindi,he was sure
empati,empathy
bulunmakta,is available
rani,rani
aşısı,vaccine
güçtür,is power
yetişmem,I can't catch up
pislikten,from dirt
ikiyüzlü,hypocrite
versiyonunu,version
godfrey,godfrey
mackey,mackey
matkap,drill
kariyerine,to your career
hükümdar,ruler
bilmeleri,to know
mezardan,from the grave
bitkileri,plants
end,end
azat,release
sedye,stretcher
parçasının,part of
sıyırmış,scraped
tekneden,from the boat
lezzetliydi,it was delicious
geçiririm,I will pass
kurar,establishes
çıkarları,interests
sırtımdan,off my back
kamuflaj,camouflage
saldırganın,the attacker
uzatmak,to lengthen
lafım,my word
yağmurdan,from the rain
düşünüyorlardı,they were thinking
zekidir,is smart
romano,Romano
muaf,exempt
ölmüşler,they are dead
içtiği,drank
abbey,abbey
eğitmek,educate
sözüme,my word
kurabiyeleri,cookies
mobil,mobile
izliyorsunuz,you are watching
getirmişler,they brought
ku,ku
tercihim,my choice
isteyelim,let's want
söylemişler,they said
ünitesi,unit
bakmadı,didn't look
alınmıştır,taken
düğmesine,button
kakao,cocoa
mahvedeceğim,I will destroy
duymadığım,I haven't heard
oğullarım,my sons
uygula,apply
ayrılmalıyız,we should break up
vurduğum,I hit
anahtarım,my key
vergiler,taxes
çıkartalım,let's subtract
onunkini,his
belirledik,we determined
nitelikli,qualified
demokrat,democrat
oluyordur,it's happening
birbirleri,each other
konut,housing
moira,Moira
aramızı,between us
ayarlamaları,adjustments
dinozorlar,dinosaurs
dostumu,my friend
duygusunu,the feeling
düşünmemi,don't think
tepedeki,at the top
uyuyakalmışım,I fell asleep
jillian,jillian
benin,me
killua,killua
uyuyabilirsin,you can sleep
taşaklı,ballsy
kopar,break off
seninkinin,yours
tarihine,to date
siktirip,fuck you
duymanı,hear you
aklındaki,in your mind
görmüştün,you saw
ultrason,ultrasound
kolundan,from your arm
tasarlandı,designed
kesikler,cuts
tanaka,tanaka
selfridge,selfridge
sızmış,leaked
arjun,arjun
görünme,do not appear
geçimini,make a living
ninem,my grandmother
nalları,horseshoes
oskar,Oscar
yaraya,to the wound
alabileceği,can get
ab,eu
prensesin,your princess
konuşuyordunuz,you were talking
chevy,chevy
penceresinden,from the window
sınız,you are
çığlığı,scream
tahlili,analysis
üzeredir,is about
kullandığınız,you use
mesajlarını,your messages
emme,suction
cruise,cruise
noktalarını,points
çarpı,times
benimkileri,mine
sap,handle
almayacaksın,you won't get it
going,going
bitirdiniz,you finished
jeneratörü,generator
naylon,nylon
kahveni,your coffee
sınavın,your exam
lamar,lamar
dibini,bottom
görmüyoruz,we don't see
unutursun,you forget
elemanın,element
şapkasını,his hat
değiştirmesi,to change
salsa,salsa
bagajında,in your trunk
öğretebilirim,I can teach
çetesinin,of the gang
ahn,Ahn
korkuya,to fear
oluştuğunu,occurred
yatağım,my bed
hatırlarsınız,you remember
ayırana,to the one who separates
vista,vista
yenilgiyi,defeat
ırkının,of your race
sözcüğü,the word
İltifat,Compliment
wen,Wen
dinleyerek,by listening
evleneceğini,you will marry
hücresine,to his cell
petey,petey
genelinde,across
yeğenin,your nephew
serseriyi,the tramp
koşuya,for a run
uy,comply
rengin,your color
ödenecek,payable
dağıtırım,I distribute
videoları,videos
sikimi,my dick
tipleri,types
fntimes,fntimes
head,head
nazaran,compared to
koma,coma
kıyısına,to the shore
yaymak,radiate
saki,cupbearer
hastalığının,of your disease
düşeceğim,I will fall
kuzgun,raven
gücünle,with your strength
tutum,attitude
over,over
açacağını,will open
afet,disaster
vatandaşları,citizens
püresi,porridge
alınmasını,to be taken
atlet,athlete
bildiğimden,than I know
notunu,your note
wyoming,wyoming
kalacağına,will stay
geronimo,geronimo
kabir,grave
yetiştirme,growing
danım,my lady
ambrose,Ambrose
village,village
grubundan,from the group
teorin,your theory
sınavda,in the exam
kralların,of kings
koridordan,from the corridor
komadan,from coma
novak,Novak
sanatın,of your art
woman,woman
hurley,hurley
karışıktı,it was complicated
çizgileri,lines
yakınımda,near me
sonraydı,it was after
inanmazsın,you don't believe
ayşe,Ayse
bubi,booby
hafızamı,my memory
kavgadan,from the fight
supergirl,supergirl
cevapsız,unanswered
kermit,kermit
yönüne,towards the direction
okuduğun,what you read
kutlaması,celebration
kırıyor,is breaking
çimento,cement
anlamalıydım,I should have understood
uğramıştım,I stopped by
canımın,my dear
başlıyordu,was starting
eminmisin,are you sure
mckinley,mckinley
borular,piping
geçebilirsin,you can pass
çakıl,gravel
kalana,to the rest
ateşim,my fever
yaklaşırken,approaching
scottie,scottie
sineği,fly
yattığım,I slept
davenport,davenport
marla,marla
şövalyeler,knights
bukadar,this much
tavrı,attitude
dolabını,your closet
unuttuğu,forgot
inançları,beliefs
aktı,flowed
olmamasından,from not having
plakayı,plate
bakacağını,you will look
rama,rama
pinky,pinky
çıkmalı,should come out
burayla,here
barlow,barlow
kısmından,from the part
fiyatlar,prices
etmişsindir,you have done
doktordan,from the doctor
çalsın,let it ring
emirlerime,to my orders
riskine,to the risk
bisikletini,your bike
dairesinden,from his office
sake,sake
açıkcası,frankly
davasının,of his case
our,our
başlarken,getting started
kilitleri,locks
cömertçe,generously
dille,verbally
tedavisini,treatment
seçmeye,to choose
mavisi,blue
binden,more than a thousand
ölebilirsin,you may die
ablamın,my sister's
biliyorsanız,if you know
maddox,maddox
demeyecek,won't say
zoom,zoom
yurtdışına,abroad
ödüyoruz,we pay
yürütüyor,is carrying out
kızmadım,I'm not angry
paspas,mop
turkcealtyazi.org,turkcealtyazi.org
tropikal,tropical
bahsederdi,would mention
wilcox,Wilcox
tandy,tandy
bahaneler,excuses
şeyiyle,with everything
insanlığa,to humanity
felakete,to disaster
kuzusu,lamb
fırtınada,in the storm
polisinin,of the police
beraberdim,I was together
tabutu,coffin
metroya,to the metro
hilary,hilary
wan,want
ceplerini,your pockets
kaybolacak,will disappear
günümüzün,of today
yüzeyinde,on the surface
çıktığından,since it came out
binlercesi,thousands of them
reeves,reeves
İskender,Alexander
aşkının,your love
telsizden,from the radio
havayolu,airline
alamıyoruz,we can't get
profesörün,your professor
hastalığım,my illness
ifadeleri,expressions
eğlenmeyi,to have fun
arabalardan,from cars
yerdesin,you are on the ground
bitirdiğinde,when you finish
çektiniz,you suffered
yaramayacağını,it won't work
edemediği,can't
çözdü,solved
duyuyorlar,they hear
toto,toto
koşa,running
öç,revenge
giyerim,I wear
gücünüz,your power
